url,name,discount,price,location,image_url,brand,model_name,ram,rom,warranty
https://www.lazada.vn/products/pdp-i3106405420.html,Điện Thoại Samsung Galaxy A15 (8GB/256GB) Chính Hãng 100% Full Box Nguyên Seal Bảo Hành 18 Tháng,33,3799000,Hà Nội,https://img.lazcdn.com/g/p/0b8f95d0b16f890a9525bb9fadb60f13.jpg_200x200q80.avif,<s>,Samsung Galaxy A15 (8GB/256GB),<s>,<s>,18 Tháng
https://www.lazada.vn/products/pdp-i3106402147.html,Điện thoại Samsung A06 5G Chính hãng Samsung Việt Nam Mới 100% Nguyên Seal,0,2590000,Hà Nội,https://img.lazcdn.com/g/p/8fca1260ff930023bbc7de155cb68c05.jpg_200x200q80.avif,Samsung,Samsung A06 5G,<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105282159.html,"Điện thoại Samsung Galaxy A33 máy 2sim ram 6G/128G Chính Hãng, lướt Web Tiktok Facebook Youtube , Camera mượt",0,2800000,Bạc Liêu,https://img.lazcdn.com/g/p/1b4bda07c3ac497a1c0731d44c03dac0.jpg_200x200q80.avif,<s>,,6G/128G,<s>,<s>
https://www.lazada.vn/products/pdp-i3105146001.html,[Chính hãng] Điện thoại Opp0 FFIND N5 (16GB/512GB) - Hàng chính hãng,50,1600000,Hà Nội,https://img.lazcdn.com/g/p/448150a59731e5622f60b1f9e572afb6.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N5 (16GB/512GB),<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105144009.html,điện thoại 0PP0 A57 (128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,730000,Lào Cai,https://img.lazcdn.com/g/p/857100c619ff722fa2778d31fb3f04a4.jpg_200x200q80.avif,<s>,<s>,<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105135019.html,"Điện thoại Redmi_n0te 14 pro plus Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1400000,Hà Nội,https://img.lazcdn.com/g/p/ab344f79b1c1a2f2eec197483ef796a0.jpg_200x200q80.avif,<s>,Redmi_n0te 14 pro,12GB/512GB pin 5110 mAh,Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105135017.html,điện thoại 0PP0 Ren0  10pr0+ 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,50,1200000,Hà Nội,https://img.lazcdn.com/g/p/c9800d75f3242b31d013cfdeacfbfec6.jpg_200x200q80.avif,<s>,0PP0 Ren0 10pr0+ 5G (12GB/256GB),<s>,<s>,12 tháng
https://www.lazada.vn/products/pdp-i3105133001.html,[Chính hãng] Điện thoại Opp0 FFIND N5 (16GB/512GB) - Hàng chính hãng,50,1600000,Thừa Thiên Huế,https://img.lazcdn.com/g/p/448150a59731e5622f60b1f9e572afb6.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N5 (16GB/512GB),<s>,<s>,<s>
https://www.lazada.vn/products/pdp-i3105132025.html,"Điện thoại Redmi_n0te 14 pro  Ram 12GB/512GB pin 5110 mAh máy chính hãng, bảo hành 12 tháng",50,1300000,Hà Nội,https://img.lazcdn.com/g/p/635872d7385961eccb0a933ab641f3ab.jpg_200x200q80.avif,<s>,,12GB/512GB pin 5110 mAh,<s> Bộ nhớ trong (ROM) của sản phẩm là bao nhiêu?</s></s> Điện thoại Redmi_n0te 14 pro Ram 12GB/512GB pin 5110 mAh,12 tháng
https://www.lazada.vn/products/pdp-i3105128029.html,[Chính hãng] Điện thoại Opp0 FFIND N3 (16GB/512GB) - Hàng chính hãng,50,1500000,Hưng Yên,https://img.lazcdn.com/g/p/7cb3bb78e90e2bc2ed62db73b015699e.jpg_200x200q80.avif,<s>,Điện thoại Opp0 FFIND N3 (16GB/512GB),<s>,<s>,<s>
