url,brand,model,ram,rom,battery,network,sim,warranty_months,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3112290630.html,Samsung,galaxy s23 fe,8GB,128GB,,5G,,0,43,3899000,Hà Nội,https://img.lazcdn.com/g/p/e811068eabcb8171a28daba68fc56c08.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111838730.html,HONOR,x9a,8GB,256GB,,5G,,0,46,3499000,Hà Nội,https://img.lazcdn.com/g/p/b4fdbbe41041e03d6edfefeb315b1890.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111829485.html,Samsung,s24 fe,8Gb,128Gb,,5G,,0,29,11990000,Hà Nội,https://img.lazcdn.com/g/p/b23e3a0fc01acd35cae1ca364555f395.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111790648.html,HONOR,x9a,8GB,256GB,,5G,,0,46,3599000,Hà Nội,https://img.lazcdn.com/g/p/037575ef67f1926c32e8dc6e0e316d63.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111772655.html,ZTE,libero flip,6GB,128GB,,5G,,0,32,3199000,Hà Nội,https://img.lazcdn.com/g/p/5310423905813416e3f1cacf7dd4f61b.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111772651.html,POCO,x6 pro,8GB,256GB,,5G,,0,45,3599000,Hà Nội,https://img.lazcdn.com/g/p/23d711e076fb44fc3b3750d8803af188.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111766462.html,Unknown,,8GB,128GB,,,,0,43,2599000,Hà Nội,https://img.lazcdn.com/g/p/771933e4dbf0bca8580a609be1a4782c.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111765736.html,Xiaomi,15 pro,12GB,256GB,,5G,,0,30,6899000,Hà Nội,https://img.lazcdn.com/g/p/270cae19f34eba55c044bcaec6e081a2.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111755571.html,Xiaomi,redmi note 13,8GB,256GB,,5G,,0,40,3999000,Hà Nội,https://img.lazcdn.com/g/p/7db35c01e561f687c664327f25f7b546.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111751488.html,Xiaomi,14t,12GB,512GB,,5G,,0,42,4399000,Hà Nội,https://img.lazcdn.com/g/p/5906d9a83c45a4b84bc1d743cba495f5.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111743569.html,Sony,xperia 5 mark,8GB,256GB,,5G,,0,27,3599000,Hà Nội,https://img.lazcdn.com/g/p/5631cb3d18114bc54fc59ac2ff840453.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111730744.html,Unknown,,,,,,,0,39,2050000,Hà Nội,https://img.lazcdn.com/g/p/eb079bd61eeb54a85134e3ccb87eede9.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3111729562.html,Unknown,,8GB,128GB,,,,0,29,2499000,Hà Nội,https://img.lazcdn.com/g/p/a4f9b3531dd8ec06053fd80f17a918cd.jpg_200x200q80.avif
