key_0,product_title,price_final,price_original,discount_percent,color,main_image,thumbnails,seller_name,seller_url,warranty_info,delivery_address,product_description
0,"điện thoại 0PP0 A79 5G (8GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",850.000 ₫,1.700.000 ₫,-50%,xanh,https://img.lazcdn.com/g/p/4302c50ed2deffb143c0de065c38fc34.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/4302c50ed2deffb143c0de065c38fc34.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/97735928f7ecb7e5a09a0b6964299274.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/46c595d67003a6bfa133984ad3fb8f27.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/f416a7fb7b5ed174b26163b02369d66e.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/672efb34c60614c739b47bdf926d7a65.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/3282cb1552017bcc9d203d46cec9e02d.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/3cb900153058f38d22b05ee237c7e67f.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/f416a7fb7b5ed174b26163b02369d66e.jpg_80x80q80.jpg_.webp",Trường An Mobile,https://www.lazada.vn/shop/truong-an-mobile/?itemId=3136602824&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","Kích thước màn hình
6.72 inches
6.72 inches
Camera sau
Camera chính: 50MP; f/1.8; FOV 77°; ống kính 5P 2MP, f/2.4; FOV 89°; ống kính 3P; hỗ trợ FF
Camera chính: 50MP; f/1.8; FOV 77°; ống kính 5P 2MP, f/2.4; FOV 89°; ống kính 3P; hỗ trợ FF
Camera trước
8MP; f/2.0; FOV 80°; ống kính 4P
8MP; f/2.0; FOV 80°; ống kính 4P
Chipset
MediaTek Dimensity 6020 5G 8 nhân
MediaTek Dimensity 6020 5G 8 nhân
Công nghệ NFC
Có
Có
Dung lượng RAM
8 GB
8 GB
Bộ nhớ trong
256 GB
256 GB
Pin
5000mAh
5000mAh
Thẻ SIM
2 SIM (Nano-SIM)
2 SIM (Nano-SIM)
Hệ điều hành
Android 13
Android 13
Độ phân giải màn hình
1080 x 2400 pixels (FullHD+)
1080 x 2400 pixels (FullHD+)
Tính năng màn hình
Tần số quét 90Hz, 391 PPI
Tần số quét 90Hz, 391 PPI
Loại CPU
2 nhân 2.2 GHz & 6 nhân 2.0 GHz
2 nhân 2.2 GHz & 6 nhân 2.0 GHz"
2,▫✗▦ Do etui Huawei Mate V do pokrowca kieszonkowego Huawei P50,574.951 ₫,-1,-1,a,https://img.lazcdn.com/g/p/677502178273bdd91cc3b48c468b1361.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/677502178273bdd91cc3b48c468b1361.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/007963182fb96eab5e273c495faf9970.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/4d37f42f62657cf9c318495a7d2e155c.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/32cfbda9a294ac919d217748333f4d5a.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/f4fb285c3d5501187a0726c1d0289e77.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/bdaa2c32611212bdff3811bada2f338e.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/f4fb285c3d5501187a0726c1d0289e77.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/007963182fb96eab5e273c495faf9970.jpg_80x80q80.jpg_.webp",yimai11,https://www.lazada.vn/shop/yimai11/?itemId=2367852149&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão",-1
3,"Điện thoại siêu phẩm SS_ A55 5G (8Gb/128GB)-hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng.trên toàn quốc",1.100.000 ₫,-1,-1,xanh,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/9190fbe515339d9fd2a78df02c23dec3.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/9d4d667313de2c2cb14393cd2521ae05.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/da62b16765484b4548eecfaf8ed7db42.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/b5494e4dbf854179e77eaba0ab49db8d.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/d56478895f7fb4fd138a33c990c029f8.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/d446d7e26d6fc9b3083a173fd84e0ff2.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/b5494e4dbf854179e77eaba0ab49db8d.jpg_80x80q80.jpg_.webp",Hân Hân Apple,https://www.lazada.vn/shop/han-han-apple/?itemId=3132330258&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","Kích thước màn hình 6.6 inches Công nghệ màn hình Super AMOLED Camera sau Camera chính: 50 MP OIS+HDR Camera góc rộng: 12MP Camera macro: 5MP Camera trước 32 MP Chipset Exynos 1480 4nm 2.4GHz Công nghệ NFC Có Dung lượng RAM 8 GB Bộ nhớ trong 128 GB Pin 5000 mAh Thẻ SIM 2 SIM (Nano-SIM) Hệ điều hành Android 14 Độ phân giải màn hình 1080 x 2340 pixels (FullHD+) Tính năng màn hình Tần số quét 120Hz, 1000nits 96% DCI-P3, 1000 nits, Gorilla Glass 7+ Loại CPU 4 nhân 2.7 GHz & 4 nhân 2.0 GHz
Kích thước màn hình 6.6 inches Công nghệ màn hình Super AMOLED Camera sau Camera chính: 50 MP OIS+HDR Camera góc rộng: 12MP Camera macro: 5MP Camera trước 32 MP Chipset Exynos 1480 4nm 2.4GHz Công nghệ NFC Có Dung lượng RAM 8 GB Bộ nhớ trong 128 GB Pin 5000 mAh Thẻ SIM 2 SIM (Nano-SIM) Hệ điều hành Android 14 Độ phân giải màn hình 1080 x 2340 pixels (FullHD+) Tính năng màn hình Tần số quét 120Hz, 1000nits 96% DCI-P3, 1000 nits, Gorilla Glass 7+ Loại CPU 4 nhân 2.7 GHz & 4 nhân 2.0 GHz"
4,test测试 guyên bản mới mướt game Phone Android,1.011.421 ₫,1.959.617 ₫,-48%,Xanh dương,https://img.lazcdn.com/g/p/03d186de6313ee48550006a22d1ce7af.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/03d186de6313ee48550006a22d1ce7af.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/1f28cb3d6c0a344f4410b51b3552f837.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/69d47572051019e6a18731c047e6679f.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/958306e4b435bbfea9d2937cfce66a38.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/d712c7d9c4a877d1098e1b45247e61ce.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/f5802394c0d2846509819f15021db06a.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/fdbaaf44bac1d164a0f2f4ed0199aac4.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/0dfef09e1eb6136f14030dc6a35c227b.jpg_80x80q80.jpg_.webp",Ai cửa hàng kỹ thuật số,https://www.lazada.vn/shop/ai-cua-hang-ky-thuat-so/?itemId=2583484786&channelSource=pdp,Change of Mind | 15 Days Free Return | Nhà cung cấp trong nước bảo hành 6 tháng,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","●
Hello,Welcome to our factory store.
We have our own factory,the price is very favorable.
We have our own factory,the price is very favorable.
We guarantee that all products sold are 100% Original Ready Stock.
We guarantee that all products sold are 100% Original Ready Stock.
Checked before shipment and properly packed to avoid damage during shipping.
Checked before shipment and properly packed to avoid damage during shipping.
We have a professional service team,You can consult us if you have any questions.
We have a professional service team,You can consult us if you have any questions.
We ship within 24 hours of your order,Product can be replaced free of charge if it fails within 1 month.
We ship within 24 hours of your order,Product can be replaced free of charge if it fails within 1 month.
● More products,More discounts,Pay attention to our store please.
●
More products,More discounts,Pay attention to our store please.
Collect our store will become our VIP customer and get the greatest discount,I wish you a happy shopping,Thank you！！！
Collect our store will become our VIP customer and get the greatest discount,I wish you a happy shopping,Thank you！！！"
5,"điện thoại 0PP0 Ren0 10pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",1.100.000 ₫,2.200.000 ₫,-50%,Purple,https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/8acf046fca9c180c128ddfd1239db733.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/7be7f9a334aab09e07170e8ab4ff2432.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/e66765b7f4bc4381dc70037a16bac306.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/40861f95f8b97067d004e66a4c126d0c.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/20d74c2f7883dda27830714191e88f4e.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/9abe55e974b4d7e093832975cbf62f86.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/9b3100e97eb0522ca75cc57fc93c6f14.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/9abe55e974b4d7e093832975cbf62f86.jpg_80x80q80.jpg_.webp",Trường An Mobile,https://www.lazada.vn/shop/truong-an-mobile/?itemId=3136556942&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","Kích thước màn hình    6.7 inches
Kích thước màn hình    6.7 inches
CPU    Qualcomm SM7325 Snapdragon 778G 5G (6 nm)
CPU    Qualcomm SM7325 Snapdragon 778G 5G (6 nm)
Bộ nhớ trong    256 GB
Bộ nhớ trong    256 GB
RAM    12 GB
RAM    12 GB
Camera chính    50MP - 32MP - 8MP
Camera chính    50MP - 32MP - 8MP
Camera phụ    32 MP
Camera phụ    32 MP
Dung lượng pin    4600mAh
Dung lượng pin    4600mAh
Màu sắc    Purple,Gray
Màu sắc    Purple,Gray
Độ phân giải màn hình    1080 x 2412 pixels
Độ phân giải màn hình    1080 x 2412 pixels
Sạc nhanh    80W
Sạc nhanh    80W
Hãng sản xuất    Oppo
Hãng sản xuất    Oppo
Tình trạng SP    new
Tình trạng SP    new"
6,"Oukitel WP28S Điện thoại SIÊU BỀN(chống nước,chống sốc,pin 10600mAh, Màn hình 6,52"" HD, Camera 13MP ,Android 14,NFC)",1.090.000 ₫,-1,-1,-1,https://img.lazcdn.com/g/p/e36fb21ec1518c4be14f505986c56369.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/e36fb21ec1518c4be14f505986c56369.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/9286db9dbaf492ac54bf9bc9adbb083b.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/64a40c90852c22697b6cc1d613d8f796.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/a0f335d8fae75010acaaa7d6c6e10168.jpg_80x80q80.jpg_.webp",Minh Trang Shop99,https://www.lazada.vn/shop/minh-trang-shop99/?itemId=3132297523&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","•	Màn hình: 6,52 inch, HD+ 576x1280
•	Hệ điều hành: Android 14
•	Hệ điều hành: Android 14
•	CPU:T606
•	CPU:T606
•	Pin: 10600mAh
•	Pin: 10600mAh
•	RAM 16GB(4+12) , ROM 128GB
•	RAM 16GB(4+12) , ROM 128GB
•	Camera sau: Camera 13MP
•	Camera sau: Camera 13MP
•	Camera trước: Máy ảnh 5MP
•	Camera trước: Máy ảnh 5MP
•	Đầu đọc dấu vân tay, nhận dạng khuôn mặt
•	Đầu đọc dấu vân tay, nhận dạng khuôn mặt
•	Thẻ SIM/TF: Nano + Nano/Nano + TF
•	Thẻ SIM/TF: Nano + Nano/Nano + TF
•	Dài 174,2mm,Rộng 82,3mm,17,4mm
•	Dài 174,2mm,Rộng 82,3mm,17,4mm
•	Mạng 2,3,4G
•	Mạng 2,3,4G
Bưu kiện: OUKITEL WP28S,cáp loại C,cốc sạt,HDSD,PBH
Bưu kiện: OUKITEL WP28S,cáp loại C,cốc sạt,HDSD,PBH"
7,điện thoại 0PP0 A93 5G (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,750.000 ₫,1.500.000 ₫,-50%,Black,https://img.lazcdn.com/g/p/ff9684b8acfbb55477c1e65c3b3c1771.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/ff9684b8acfbb55477c1e65c3b3c1771.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/0597ec8ce17d27006d7fd9738ae3930c.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/062df1b1808c85892796fc6feb26b20b.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/402f543fe78140fcf474ef1b5980b15d.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/2944e602d90b7acfd7b35668e49386c9.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/d42b292ae6dbc1b76caa47bba8bdf604.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/5ced4795c4d2fb717c2ca68aee01f4e3.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/402f543fe78140fcf474ef1b5980b15d.jpg_80x80q80.jpg_.webp",Trường An Mobile,https://www.lazada.vn/shop/truong-an-mobile/?itemId=3136591814&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","Công nghệ màn hình
Super AMOLED, 16t triệu màu, Corning Gorilla Glass 3+, độ sáng 430 nits
Super AMOLED, 16t triệu màu, Corning Gorilla Glass 3+, độ sáng 430 nits
Kích thước màn hình
6.43 inches
6.43 inches
Công nghệ màn hình
Super AMOLED
Super AMOLED
Camera sau
48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)
48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF 8 MP, f/2.2, 119˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (depth) 2 MP, f/2.4, (depth)
Camera trước
16 MP, f/2.4, (wide), 1/3"", 1.0µm 2 MP, f/2.4, (depth)
16 MP, f/2.4, (wide), 1/3"", 1.0µm 2 MP, f/2.4, (depth)
Chipset
Mediatek Helio P95 (12 nm)
Mediatek Helio P95 (12 nm)
Công nghệ NFC
Không
Không
Dung lượng RAM
8 GB
8 GB
Bộ nhớ trong
128 GB
128 GB
Pin
4000mAh Sạc siêu nhanh 18W
4000mAh Sạc siêu nhanh 18W
Thẻ SIM
2 SIM (Nano-SIM)
2 SIM (Nano-SIM)
Hệ điều hành
Android 10, ColorOS 7.2
Android 10, ColorOS 7.2
Độ phân giải màn hình
1080 x 2400 pixels (FullHD+)
1080 x 2400 pixels (FullHD+)
Loại CPU
Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)
Octa-core (2x2.2 GHz Cortex-A75 & 6x2.0 GHz Cortex-A55)
Cảm biến
Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển
Cảm biến vân tay, cảm biến tiệm cận, gia tốc kế, la bàn, con quay hồi chuyển"
8,điện thoại 0PP0 Ren012 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,950.000 ₫,1.900.000 ₫,-50%,Grey,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/098f1e73ac9792fde32d887d564442ef.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/a0658ce051254680525c72da11494676.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/dc61931d0afb81c0e2c006345f0d28de.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/e195cd5e7ad6ee078459cb64247576dc.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/e00218671fa709cd9ead24acd6ba9a4b.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/31027d98f5daf81a4ec880ae102ea46f.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/e195cd5e7ad6ee078459cb64247576dc.jpg_80x80q80.jpg_.webp",Tú Linh Mobile,https://www.lazada.vn/shop/tu-linh-mobile/?itemId=3136986821&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","Kích thước màn hình 6.7 inches Công nghệ màn hình AMOLED Camera sau Chính 50 MP & Phụ 50 MP, 8 MP Camera trước 50 MP Chipset MediaTek Dimensity 7300-Energy 5G 8 nhân Công nghệ NFC Có Dung lượng RAM 12 GB Bộ nhớ trong 512 GB Pin 5000 mAh Thẻ SIM 2 Nano-SIM Hệ điều hành Android 14 Độ phân giải màn hình 1080 x 2412 pixels"
9,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng máy mới 100%",1.075.000 ₫,2.150.000 ₫,-50%,xanh,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/d06eb2ab9e1d03fce293b4871ef55433.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/bf63cd9bb97833aa9388fe25a8a899a6.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/87785d604a13e1459978381efbc1df75.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_80x80q80.jpg_.webp",Bình Minh Mobile 88,https://www.lazada.vn/shop/binh-minh-mobile-88/?itemId=3137104751&channelSource=pdp,Change of Mind | 15 Days Free Return | Không áp dụng chính sách bảo hành,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","Chi tiết sản phẩm
Kích thước màn hình
6.8 inches
6.8 inches
Công nghệ màn hình
Dynamic AMOLED 2X
Dynamic AMOLED 2X
Camera sau
108 MP, f/1.8 góc rộng 10 MP, f/4.9 10 MP, f/2.4 12 MP, f/2.2 góc siêu rộng
108 MP, f/1.8 góc rộng 10 MP, f/4.9 10 MP, f/2.4 12 MP, f/2.2 góc siêu rộng
Camera trước
40 MP, f/2.2
40 MP, f/2.2
Chipset
Qualcomm Snapdragon 8 Gen 1 (4 nm)
Qualcomm Snapdragon 8 Gen 1 (4 nm)
Công nghệ NFC
Có
Có
Dung lượng RAM
12 GB
12 GB
Bộ nhớ trong
256 GB
256 GB
Pin
Li-Ion 5000 mAh
Li-Ion 5000 mAh
Thẻ SIM
2 Nano-SIM + eSIM
2 Nano-SIM + eSIM
Hệ điều hành
Android 12, One UI 4.1
Android 12, One UI 4.1
Độ phân giải màn hình
1440 x 3088 pixels (QHD+)
1440 x 3088 pixels (QHD+)
Tính năng màn hình
Tần số quét 120Hz Công nghệ HDR10+
Tần số quét 120Hz Công nghệ HDR10+
Loại CPU
Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)
Octa-core (1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510)"
10,Điện thoại samsung galaxy j6 plus 2018 máy cũ tân trang đẹp trên 95%,495.000 ₫,1.100.000 ₫,-55%,máy cũ trầy xước nhẹ,https://img.lazcdn.com/g/ff/kf/Sb48942bc3d534ddf8bdc12c6827e8bd2S.jpg_720x720q80.jpg_.webp,"https://img.lazcdn.com/g/p/8d4bf8fd22df510a8e434123f8322db0.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/3aca86cfccd445d245cf3b0b2ab2e8f3.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/d1ced2ff38ed7d0462f2d6eacb99001b.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/9a05fec6442c7bf9d8331b4a1e44e35e.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/4d0c658542ace621249f47c34e1da0d6.jpg_80x80q80.jpg_.webp, https://img.lazcdn.com/g/p/42f84fc20cb30861cdf52358d782472f.jpg_80x80q80.jpg_.webp",Smartchoice 247,https://www.lazada.vn/shop/smartchoice-247/?itemId=3065872797&channelSource=pdp,Change of Mind | 15 Days Free Return | Bảo hành bởi Nhà phân phối trong nước 1 tháng,"Hồ Chí Minh, Quận 1, Phường Phạm Ngũ Lão","Mô tả sản phẩm
Phiên bản mới thời thượng, thiết kế vỏ kính đẳng cấp, camera kép chụp ảnh xóa phông và màn hình lớn giải trí thỏa thích, đó chính là Samsung Galaxy J6+ .
Phiên bản mới thời thượng, thiết kế vỏ kính đẳng cấp, camera kép chụp ảnh xóa phông và màn hình lớn giải trí thỏa thích, đó chính là
Samsung Galaxy J6+
.
Camera kép lấy nét động Live Focus
Samsung Galaxy J6+ là chiếc điện thoại rẻ nhất của Samsung sở hữu camera kép có tính năng lấy nét động Live Focus. Bạn có thể điều chỉnh được độ mờ hậu cảnh, mang đến những bức ảnh xóa phông đúng như ý muốn. Camera này bao gồm hai cảm biến 13MP + 5MP, ấn tượng hơn nữa là tính năng phông nền nghệ thuật. Những hiệu ứng ánh sáng đẹp mắt sẽ được thêm vào phần phông nền làm mờ, để bạn nổi bật hơn và ảnh chụp lung linh như trong studio chuyên nghiệp.
Samsung Galaxy J6+ là chiếc điện thoại rẻ nhất của Samsung sở hữu camera kép có tính năng lấy nét động Live Focus. Bạn có thể điều chỉnh được độ mờ hậu cảnh, mang đến những bức ảnh xóa phông đúng như ý muốn. Camera này bao gồm hai cảm biến 13MP + 5MP, ấn tượng hơn nữa là tính năng phông nền nghệ thuật. Những hiệu ứng ánh sáng đẹp mắt sẽ được thêm vào phần phông nền làm mờ, để bạn nổi bật hơn và ảnh chụp lung linh như trong studio chuyên nghiệp.
Camera selfie khẩu độ lớn, chụp tốt trong đêm tối
Camera selfie của Galaxy J6+ có độ phân giải 8MP, khẩu độ lớn f/1.9, cho khả năng chụp selfie trong điều kiện thiếu sáng hiệu quả hơn hẳn các đối thủ cùng phân khúc. Bạn còn có thêm một đèn flash LED thông minh trợ sáng, chính vì thế selfie trong tối không phải là vấn đề với J6+.
Camera selfie của Galaxy J6+ có độ phân giải 8MP, khẩu độ lớn f/1.9, cho khả năng chụp selfie trong điều kiện thiếu sáng hiệu quả hơn hẳn các đối thủ cùng phân khúc. Bạn còn có thêm một đèn flash LED thông minh trợ sáng, chính vì thế selfie trong tối không phải là vấn đề với J6+.
Vỏ kính cao cấp, màu đỏ thời thượng
Được hoàn thiện từ chất liệu kính cao cấp và kiểu dáng thời trang đặc trưng của Samsung, Galaxy J6+ đẹp tỏa sáng trong lòng bàn tay bạn. Sẽ có 3 lựa chọn màu là đỏ, xanh và đen. Thiết kế thanh lịch, tối giản và chắc chắn của Galaxy J6+ sẽ rất được người dùng yêu thích.
Được hoàn thiện từ chất liệu kính cao cấp và kiểu dáng thời trang đặc trưng của Samsung, Galaxy J6+ đẹp tỏa sáng trong lòng bàn tay bạn. Sẽ có 3 lựa chọn màu là đỏ, xanh và đen. Thiết kế thanh lịch, tối giản và chắc chắn của Galaxy J6+ sẽ rất được người dùng yêu thích.
Màn hình lớn 6 inch Infinity Display
Những trải nghiệm xem trên Galaxy J6+ của bạn sẽ vô cùng tuyệt vời nhờ màn hình lớn 6.0 inch độ phân giải True HD+, tỉ lệ 18,5:9 viền mỏng. Đây chính là màn hình “vô cực” Infinity Display, hiển thị hình ảnh rộng, màu sắc sống động, tối ưu cho xem phim và chơi game. Bên cạnh hình ảnh, bạn còn được tận hưởng âm thanh Dolby Atmos chất lượng cao, mang đến những giờ phút giải trí tuyệt vời.
Những trải nghiệm xem trên Galaxy J6+ của bạn sẽ vô cùng tuyệt vời nhờ màn hình lớn 6.0 inch độ phân giải True HD+, tỉ lệ 18,5:9 viền mỏng. Đây chính là màn hình “vô cực” Infinity Display, hiển thị hình ảnh rộng, màu sắc sống động, tối ưu cho xem phim và chơi game. Bên cạnh hình ảnh, bạn còn được tận hưởng âm thanh Dolby Atmos chất lượng cao, mang đến những giờ phút giải trí tuyệt vời.
Mở khóa thông minh với một lần chạm
Samsung Galaxy J6+ có vị trí đặt cảm biến vân tay trên phím nguồn rất độc đáo, vô cùng tiện lợi khi bạn chỉ cần nhấn phím nguồn, máy sẽ nhận dạng vân tay và mở khóa ngay lập tức. Thao tác này hoàn toàn tự nhiên, đồng thời vị trí cảm biến thông minh này cũng khiến máy gọn gàng hơn so với việc đặt vân tay ở mặt trước hay mặt sau.
Samsung Galaxy J6+ có vị trí đặt cảm biến vân tay trên phím nguồn rất độc đáo, vô cùng tiện lợi khi bạn chỉ cần nhấn phím nguồn, máy sẽ nhận dạng vân tay và mở khóa ngay lập tức. Thao tác này hoàn toàn tự nhiên, đồng thời vị trí cảm biến thông minh này cũng khiến máy gọn gàng hơn so với việc đặt vân tay ở mặt trước hay mặt sau.
Luôn luôn mượt mà khi sử dụng
Với hệ điều hành Android Oreo mới nhất, con chip Snapdragon mạnh mẽ, 3GB RAM và 32GB bộ nhớ trong, Galaxy J6+ đảm bảo sự mượt mà trong suốt quá trình sử dụng. Bạn có thể thoải mái mở những ứng dụng yêu thích mà không lo hiện tượng lag giật. Viên pin dung lượng cao 3300 mAh mang đến thời lượng sử dụng dài, lên tới 2 ngày nếu bạn chỉ dùng ở nhu cầu cơ bản.
Với hệ điều hành Android Oreo mới nhất, con chip Snapdragon mạnh mẽ, 3GB RAM và 32GB bộ nhớ trong, Galaxy J6+ đảm bảo sự mượt mà trong suốt quá trình sử dụng. Bạn có thể thoải mái mở những ứng dụng yêu thích mà không lo hiện tượng lag giật. Viên pin dung lượng cao 3300 mAh mang đến thời lượng sử dụng dài, lên tới 2 ngày nếu bạn chỉ dùng ở nhu cầu cơ bản."
