key_0,main_image,product_title,seller_name,price_final,price_original,discount_percent,brand,model,RAM,ROM,OS,screen_size,warranty,battery_capacity
0,https://img.lazcdn.com/g/p/4302c50ed2deffb143c0de065c38fc34.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 A79 5G (8GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng""",Trường An Mobile,850000,1700000,50,oppo,A79,8,256,Android 13,6.72,12,5000
2,https://img.lazcdn.com/g/p/677502178273bdd91cc3b48c468b1361.jpg_720x720q80.jpg_.webp,▫✗▦ Do etui Huawei Mate V do pokrowca kieszonkowego Huawei P50,yimai11,574951,-1,-1,-1,"['Mate V', 'P50']",-1,-1,-1,-1.0,-1,-1
3,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A55 5G (8Gb/128GB)-hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng.trên toàn quốc",Hân Hân Apple,1100000,-1,-1,samsung,A55 5G,8,128,Android 14,6.6,12,5000
4,https://img.lazcdn.com/g/p/03d186de6313ee48550006a22d1ce7af.jpg_720x720q80.jpg_.webp,test测试 guyên bản mới mướt game Phone Android,Ai cửa hàng kỹ thuật số,1011421,1959617,48,-1,-1,-1,-1,,-1.0,-1,-1
6,https://img.lazcdn.com/g/p/e36fb21ec1518c4be14f505986c56369.jpg_720x720q80.jpg_.webp,"Oukitel WP28S Điện thoại SIÊU BỀN(chống nước,chống sốc,pin 10600mAh, Màn hình 6,52"" HD, Camera 13MP ,Android 14,NFC)",Minh Trang Shop99,1090000,-1,-1,oukitel,WP28S,16,-1,Android 14,6.52,-1,10600
7,https://img.lazcdn.com/g/p/ff9684b8acfbb55477c1e65c3b3c1771.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 A93 5G (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Trường An Mobile,750000,1500000,50,oppo,A93,8,128,"Android 10, ColorOS 7.2",6.43,12,4000
8,https://img.lazcdn.com/g/p/88036aff56da54e1dafcb8a56ec0f5bd.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 Ren012 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Tú Linh Mobile,950000,1900000,50,oppo,Ren012 5G,12,256,Android 14,6.7,12,5000
9,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_720x720q80.jpg_.webp,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng máy mới 100%",Bình Minh Mobile 88,1075000,2150000,50,samsung,SS 22ut,12,256,"Android 12, One UI 4.1",6.8,12,5000
10,https://img.lazcdn.com/g/ff/kf/Sb48942bc3d534ddf8bdc12c6827e8bd2S.jpg_720x720q80.jpg_.webp,Điện thoại samsung galaxy j6 plus 2018 máy cũ tân trang đẹp trên 95%,Smartchoice 247,495000,1100000,55,samsung,Galaxy J6+,3,-1,Android Oreo,6.0,-1,3300
11,https://img.lazcdn.com/g/p/95323c8fa063cfce9ffa21be25eadbfe.png_720x720q80.png_.webp,"Oukitel WP32 Pro siêu bền(RAM 24Gb(6GB + 18GB),ROM 256GB,NFC,Màn hình 6.0 inch, Android 14,T606 Octa Core, OTG)",Tuấn Nguyễn Mobile 88,1159000,2318000,50,oukitel,WP32 Pro,-1,256,Android 14,6.0,-1,-1
13,https://img.lazcdn.com/g/p/e170e944b99f815e25255d8df549d265.jpg_720x720q80.jpg_.webp,"Điện thoại SS 23ut máy 2sim ram 12G/512G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Thành Đạt Mobile88,1100000,2200000,50,-1,-1,12,512,Android 13,6.8,12,4500
14,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 10pr0 Ram 8GB/128GB pin 5020 mAh máy chính hãng, bảo hành 12 tháng",Bình Minh Mobile 88,810000,1620000,50,xiaomi,-1,8,128,Android 11,6.67,12,5020
15,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Bình Minh Mobile 88,805000,1610000,50,xiaomi,Note 12,8,128,Android 13,6.67,12,5000
16,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",Bình Minh Mobile 88,695000,1390000,50,samsung,SS_A72 5G,8,256,Android 11,6.7,12,5000
17,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_720x720q80.jpg_.webp,"Điện thoại  Redmi_n0te 12 Ram 8GB/128GB pin 5000 mAh máy chính hãng, bảo hành 12 tháng",Tuấn Nguyễn Mobile 88,800000,1600000,50,xiaomi,Note 12,8,128,Android 13,6.67,12,5000
18,https://img.lazcdn.com/g/p/e78309226d73fec5f8c33fc0856f35be.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Bình Minh Mobile 88,905000,1810000,50,oppo,-1,12,256,Android 12,-1,12,4500
19,https://img.lazcdn.com/g/p/939d435e2e7f9dd5c3dbb518d932dd6f.jpg_720x720q80.jpg_.webp,"Điện thoại chắc chắn Oukitel WP28 S (Màn hình HD 6,52"",pin 10600mAh,NFC,Ram 16GB(4+12),Rom 128GB, Android 14, Camera13M)",Tú Linh Mobile,1009000,2018000,50,oukitel,WP28 S,16,128,Android 14,6.52,-1,10600
20,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",Hân Hân Apple,700000,-1,-1,samsung,M51,8,128,Android 10,6.7,12,7000
22,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_720x720q80.jpg_.webp,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng máy mới 100%",Thành Đạt Mobile88,1075000,2150000,50,-1,SS 22ut,12,256,Android 12,6.8,12,5000
23,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_720x720q80.jpg_.webp,"Điện thoại SS 22ut máy 2sim ram 12G/256G Chính Hãng, bảo hành 12 tháng máy mới 100%",Minh Trang Shop99,1075000,-1,-1,samsung,SS 22ut,12,256,"Android 12, One UI 4.1",6.8,12,5000
24,https://img.lazcdn.com/g/p/78967ecfdc37b80cd77d387101622de1.jpg_720x720q80.jpg_.webp,"Điện thoại xia0mi. Mi 13 Utra 912gb/256gb) Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Thành Đạt Mobile88,850000,1700000,50,xiaomi,Mi 13 Ultra,12,256,Android 13,6.73,12,5000
25,https://img.lazcdn.com/g/p/6511a36f6bd5b3f1a264643cd4166036.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 A92 (8GB/128GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Trường An Mobile,720000,1440000,50,-1,A92,8,128,"Android 10, ColorOS 7.1",6.5,12,4500
26,https://img.lazcdn.com/g/p/8e7c9fdb8de580d820255bf4dcede2e1.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Bình Minh Mobile 88,800000,1600000,50,xiaomi,Note 11 pro,8,128,Android 11,6.67,12,5000
28,https://img.lazcdn.com/g/p/31027d98f5daf81a4ec880ae102ea46f.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 Ren012 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Thành Đạt Mobile88,950000,1900000,50,oppo,Ren012,12,512,Android 14,6.7,12,5000
29,https://img.lazcdn.com/g/p/27d2276da838510f3156d10069c79450.jpg_720x720q80.jpg_.webp,♙☍♙ Bling Gradient miękki futerał do Huawei P20 P30 Pro P40 Lite E Mate 20 Honor 10 8X 8A 8S 9A 9S 9C 20S P Smart inteligentny Z 2019 Y5 Y6 Y7 okładka,ergeee6,179951,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30,https://img.lazcdn.com/g/p/674c91cf325950e41cd7550b3f1864cd.jpg_720x720q80.jpg_.webp,điện thoại 0PP0 Ren08pr0 5G (12GB/256GB) | Cấu hình Cao Chiến mọi Game mượt - Hàng chính hãng Bảo hành 12 tháng,Tuấn Nguyễn Mobile 88,900000,1800000,50,oppo,Ren08pr0,12,256,Android 12,6.7,12,4500
32,https://img.lazcdn.com/g/p/8e7c9fdb8de580d820255bf4dcede2e1.jpg_720x720q80.jpg_.webp,"Điện thoại Red.mi Note 11 pro 2sim ram 8G/128G, Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Trang Shop99,800000,-1,-1,-1,Note 11 pro,8,128,Android 11,6.67,12,5000
34,https://img.lazcdn.com/g/p/5c38be3cbe7e4ccfbf3e77a84fc4878d.jpg_720x720q80.jpg_.webp,"Điện thoại Oukitel WP19 Pin 21000mAh, Vua pin siêu bền, Ram 8G Rom 256G Chính Hãng (tặng cáp bảo vệ sạc)",Tuấn Nguyễn Mobile 88,959000,1918000,50,oukitel,WP19,8,256,-1,-1.0,-1,21000
35,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Tú Linh Mobile,820000,1640000,50,-1,SS_ A72 5G,8,256,"Android 11, One UI 3.0",6.7,12,5000
36,https://img.lazcdn.com/g/p/2b15a212d00b2770d65881cab3033d0e.jpg_720x720q80.jpg_.webp,"Điện thoại SS 23ut máy 2sim ram 12G/512G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Trang Shop99,1100000,-1,-1,samsung,23ut,12,256,Android 13,6.8,12,5000
38,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Cấu hình Cao Chiến mọi Game mượt, Chụp ảnh đẹp, VÂN TAY OK",Tuấn Nguyễn Mobile 88,700000,1400000,50,-1,M51,6,128,Android 10,6.7,-1,7000
39,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A55 5G 128GB-Chính hãng newseal 100%, Bảo hành chính hãng 12 tháng.",Tuấn Nguyễn Mobile 88,1100000,2200000,50,-1,SS_A55,8,128,Android 14,6.6,12,5000
40,https://img.lazcdn.com/g/p/928122795ae5be4be85f3a16fb55a5ea.jpg_720x720q80.jpg_.webp,"Điện thoại SS A32 máy 2sim ram 6G/128G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Bình Minh Mobile 88,750000,1500000,50,samsung,A32,6,128,Android 11,6.4,12,5000
41,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A72 5G (8GB/256GB) hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng trên toàn quốc",Thành Đạt Mobile88,695000,1390000,50,samsung,A72 5G,8,256,"Android 11, One UI 3.0",6.7,12,5000
42,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_720x720q80.jpg_.webp,"Điện thoại Ss M51 2sim ram 8G/128G, Hàng Chính Hãng, bảo hành 12 tháng Chụp ảnh đẹp, VÂN TAY OK",Bình Minh Mobile 88,700000,1400000,50,samsung,M51,8,128,Android 10,6.7,12,7000
43,https://img.lazcdn.com/g/p/78967ecfdc37b80cd77d387101622de1.jpg_720x720q80.jpg_.webp,"Điện thoại xia0mi. Mi 13 Utra 912gb/256gb) Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Trang Shop99,850000,-1,-1,xiaomi,Mi 13 Ultra,12,256,Android 13,6.73,12,5000
44,https://img.lazcdn.com/g/p/31027d98f5daf81a4ec880ae102ea46f.jpg_720x720q80.jpg_.webp,"điện thoại 0PP0 Ren012 5G (12GB/256GB) | Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Bình Minh Mobile 88,950000,1900000,50,oppo,Ren012,12,512,Android 14,6.7,12,5000
46,https://img.lazcdn.com/g/p/1d3dc590396f33e0b4fe9062d507d14f.jpg_720x720q80.jpg_.webp,"Điện thoại siêu phẩm SS_ A55 5G (8Gb/128GB)-hàng chính hãng mới 100%, Bảo hành chính hãng 12 tháng.trên toàn quốc",Minh Thành Mobile 88,1100000,2200000,50,-1,SS_ A55 5G,8,128,Android 14,6.6,-1,5000
47,https://img.lazcdn.com/g/p/2e3db16dc75b277df74c57c0515a4e6a.jpg_720x720q80.jpg_.webp,"Điện thoại Redmi_n0te 10pr0 Ram 8GB/128GB pin 5020 mAh máy chính hãng, bảo hành 12 tháng",Thành Đạt Mobile88,810000,1620000,50,xiaomi,n0te 10pr0,8,128,Android 11,6.67,12,5020
49,https://img.lazcdn.com/g/p/e170e944b99f815e25255d8df549d265.jpg_720x720q80.jpg_.webp,"Điện thoại SS 23ut máy 2sim ram 12G/512G Chính Hãng, mới 100% bảo hành 12 tháng toàn quốc",Minh Thành Mobile 88,1100000,2200000,50,samsung,SS 23ut,12,256,Android 13,6.8,12,5000
